image_id,label_id,label_name,hum_yes_rating,hum_no_rating,hum_dont_know_rating,machine_score
8d699f27eeb9a208,/m/01d30f,Teacher,3,1,1,1
e1821f9db89acab4,/m/01d30f,Teacher,1,2,2,1
0119301a01cee4e8,/m/01d30f,Teacher,4,1,0,0
d6ae8d2777200716,/m/01d30f,Teacher,1,2,2,0
43cdc475bd823940,/m/01d30f,Teacher,0,3,2,1
daadf45145986467,/m/01d30f,Teacher,2,2,1,1
77803ce0ffd99bc5,/m/01d30f,Teacher,2,1,2,0
2e3150fb01a675fb,/m/01d30f,Teacher,5,0,0,0
5b5100fbfa585cec,/m/01d30f,Teacher,2,1,2,0
20bcee62e168551f,/m/01d30f,Teacher,3,1,1,1
ace487fc360b0ea5,/m/01d30f,Teacher,5,0,0,1
89589f82543c3aca,/m/01d30f,Teacher,1,1,3,0
2974231d1c8f6a12,/m/01d30f,Teacher,1,1,3,0
a044ae67d64ef9a5,/m/01d30f,Teacher,4,1,0,1
1e4367ebe90765b5,/m/06c7f7,Lipstick,5,0,0,0
58c8837d34b06e51,/m/06c7f7,Lipstick,2,3,0,0
787e5c6f29fb640e,/m/06c7f7,Lipstick,5,0,0,0
9536e4f879cb8054,/m/06c7f7,Lipstick,2,1,2,0
3c05f5119cde8ce6,/m/06c7f7,Lipstick,5,0,0,0
dbc2ac5a081e0036,/m/06c7f7,Lipstick,5,0,0,0
e740cfcd4685bf1f,/m/06c7f7,Lipstick,4,1,0,0
3af0ca63e0d4585d,/m/06c7f7,Lipstick,5,0,0,0
b7dd04ec67608adf,/m/06c7f7,Lipstick,2,3,0,0
9a8b5f19f447ded0,/m/06c7f7,Lipstick,5,0,0,0
027e1a861d892e1c,/m/06c7f7,Lipstick,5,0,0,0
60edc070d9fcbd18,/m/06c7f7,Lipstick,5,0,0,1
8876b3f35f7fcc45,/m/06c7f7,Lipstick,3,2,0,0
5ab8f52846bcd245,/m/06c7f7,Lipstick,5,0,0,0
f76001c12824f491,/m/06c7f7,Lipstick,5,0,0,0
347039d69879e4e2,/m/06c7f7,Lipstick,5,0,0,0
72eca37be1b2be11,/m/06c7f7,Lipstick,3,2,0,0
232cd35d2c6f17fe,/m/06c7f7,Lipstick,1,3,1,0
e4f2a3cfe43b2e68,/m/06c7f7,Lipstick,5,0,0,0
00e56fbe68ae4ac1,/m/06c7f7,Lipstick,5,0,0,0
45b5ae6759ae30f5,/m/06c7f7,Lipstick,5,0,0,0
60a65426cf388baa,/m/06c7f7,Lipstick,5,0,0,1
0864e99625c916c5,/m/06c7f7,Lipstick,5,0,0,0
05ac727c40311b39,/m/06c7f7,Lipstick,5,0,0,0
42f43bb2809d9f3a,/m/06c7f7,Lipstick,5,0,0,0
a9422a6c491e91d0,/m/06c7f7,Lipstick,5,0,0,0
17d0b8792acbce6e,/m/06c7f7,Lipstick,3,2,0,0
72fe0087fee58334,/m/06c7f7,Lipstick,5,0,0,0
1bb88848c8d2ac03,/m/06c7f7,Lipstick,5,0,0,0
cebb1fa8c7a09dfb,/m/06c7f7,Lipstick,4,1,0,0
077d5c83e0f8e04c,/m/06c7f7,Lipstick,5,0,0,1
009c70d7dac65e30,/m/06c7f7,Lipstick,4,1,0,0
bd043ee8fdb943c4,/m/06c7f7,Lipstick,1,4,0,1
27ba3ea19605290c,/m/06c7f7,Lipstick,5,0,0,0
a254607e161ffb7a,/m/06c7f7,Lipstick,5,0,0,0
ad23479393a2ad70,/m/06c7f7,Lipstick,4,0,1,0
00356a9c680f3210,/m/06c7f7,Lipstick,4,1,0,0
bcc77e13896c8144,/m/06c7f7,Lipstick,3,2,0,0
7bf738081aab27a6,/m/06c7f7,Lipstick,5,0,0,0
9b2bfa00c56ac2a2,/m/06c7f7,Lipstick,5,0,0,0
dc61952b7e6ded47,/m/06c7f7,Lipstick,5,0,0,0
fa47369ce773924e,/m/06c7f7,Lipstick,5,0,0,0
28f0265ad78ec133,/m/06c7f7,Lipstick,5,0,0,0
ac83d46f0dd488fa,/m/06c7f7,Lipstick,4,1,0,0
ba8f11c7383f7cf7,/m/06c7f7,Lipstick,4,0,1,0
887fcb285db7fdf3,/m/06c7f7,Lipstick,5,0,0,0
e18562d8b9478010,/m/06c7f7,Lipstick,4,1,0,1
01ffa68bc778d6de,/m/06c7f7,Lipstick,4,1,0,0
e9cfc422ff17b565,/m/06c7f7,Lipstick,5,0,0,0
fe7417fe45c0968e,/m/06c7f7,Lipstick,3,0,2,0
9557c3a1fc75f47a,/m/06c7f7,Lipstick,3,1,1,1
ea12d5e3990e9780,/m/06c7f7,Lipstick,5,0,0,0
c70f04adb7287d67,/m/06c7f7,Lipstick,5,0,0,0
364a6eb52f5ace83,/m/06c7f7,Lipstick,5,0,0,0
643d34d53fe5050b,/m/06c7f7,Lipstick,5,0,0,0
f1e9d8e6c3a781f9,/m/06c7f7,Lipstick,2,3,0,0
6bdb513da1c93dd9,/m/06c7f7,Lipstick,5,0,0,0
1670bb4896832294,/m/06c7f7,Lipstick,4,0,1,0
f2f9a9249ee39e96,/m/06c7f7,Lipstick,5,0,0,0
5de55a3b71a9b0db,/m/06c7f7,Lipstick,3,0,2,0
25e96cb439226c85,/m/06c7f7,Lipstick,5,0,0,0
dfba9d531f48718e,/m/06c7f7,Lipstick,4,1,0,0
2f9571ab4a30e489,/m/06c7f7,Lipstick,2,2,1,0
75dc5b851839d376,/m/06c7f7,Lipstick,5,0,0,0
f025c4328db84a0e,/m/06c7f7,Lipstick,5,0,0,0
1c3aafc0c02f3264,/m/06c7f7,Lipstick,2,3,0,0
82a251310ac12171,/m/06c7f7,Lipstick,5,0,0,0
fe251450e0208eb6,/m/06c7f7,Lipstick,5,0,0,0
d43e955b75c9d378,/m/06c7f7,Lipstick,5,0,0,0
2a3ff2cedb873745,/m/06c7f7,Lipstick,5,0,0,0
a32a8e9214da7e41,/m/06c7f7,Lipstick,5,0,0,0
b57300be8bfc5d08,/m/06c7f7,Lipstick,3,2,0,0
05126d9bb08ae310,/m/06c7f7,Lipstick,5,0,0,0
00267d051bb87b02,/m/06c7f7,Lipstick,3,2,0,0
da515fa403b2456c,/m/06c7f7,Lipstick,5,0,0,0
ac5a6cac7ec99987,/m/06c7f7,Lipstick,0,5,0,0
2c384f94a15937f5,/m/06c7f7,Lipstick,5,0,0,0
c03b7689afc2a39a,/m/06c7f7,Lipstick,2,3,0,1
9bd13422cdff93dd,/m/06c7f7,Lipstick,5,0,0,0
9fc82f24d3f00b31,/m/06c7f7,Lipstick,3,2,0,0
88ba3515ba8a6f78,/m/06c7f7,Lipstick,1,4,0,0
d7656aaf77b6bc5d,/m/06c7f7,Lipstick,5,0,0,0
ff4c4bfc5d408d26,/m/06c7f7,Lipstick,4,0,1,0
893cd19dd603abe6,/m/06c7f7,Lipstick,4,1,0,0
a9779e83ef1b26db,/m/06c7f7,Lipstick,5,0,0,0
c8504738f509f69e,/m/06c7f7,Lipstick,5,0,0,0
f6b9ad93b383cd8e,/m/06c7f7,Lipstick,5,0,0,0
6d44a90747b27bde,/m/06c7f7,Lipstick,3,2,0,0
7eb7d095eb0e556a,/m/06c7f7,Lipstick,5,0,0,0
0bd09795eab4421f,/m/06c7f7,Lipstick,4,1,0,0
0cc77bcc246a978c,/m/06c7f7,Lipstick,5,0,0,0
f098589682295136,/m/06c7f7,Lipstick,5,0,0,0
8547e94cd42755bb,/m/06c7f7,Lipstick,4,1,0,0
f4ba597849a997a0,/m/06c7f7,Lipstick,5,0,0,1
d84dd5a4d9e49f80,/m/06c7f7,Lipstick,5,0,0,0
